Area,GDP,Latitude,Longitude
Birmingham (West Midlands),22307,52.4796992,-1.9026911
Greater Manchester,21226,53.5065248,-2.3374401
Leeds,27466,53.7974185,-1.5437941
Glasgow,32305,55.861155,-4.2501687
Edinburgh,36963,55.9533456,-3.1883749
Tyneside[note 2],21566,55.0297994,-1.508256
Bristol,30850,51.4538022,-2.5972985
Sheffield,19833,53.3806626,-1.4702278
Cardiff and Vale of Glamorgan,22783,51.414794,-3.2313615
Liverpool,22790,53.4071991,-2.99168
Milton Keynes,41581,52.0406502,-0.7594092
Belfast,35023,54.596391,-5.9301829
Bradford,17892,53.7944229,-1.7519186
Nottingham,27645,52.9534193,-1.1496461
Bournemouth and Poole,23787,50.720097,-1.8799272
Coventry,22165,52.4081812,-1.510477
Leicester,21812,52.6362,-1.1331969
Brighton & Hove,24989,50.8214626,-0.1400561
Derby,27266,52.9212617,-1.4761491
Wakefield,19837,53.6829541,-1.4967286
Southampton,23535,50.9025349,-1.404189
Sunderland,20728,54.9058512,-1.3828727
Portsmouth,25236,50.8036831,-1.075614
Peterborough,27745,52.5725769,-0.2427336
Plymouth,19762,50.3712659,-4.1425658
Kingston upon Hull,19803,53.7435722,-0.3394758
York,24499,53.9590555,-1.0815361
Luton,22766,51.8784385,-0.4152837
Stoke-on-Trent,18926,53.0162014,-2.1812607
Wolverhampton,18179,52.5847651,-2.127567
Swansea,18577,51.6195955,-3.9459248